workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,stim,answer,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,0,E19_Q6_ansR.png,right,NA,NA,NA,right,2033.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,1,E19_Q1_ansL.png,left,NA,NA,NA,left,2451.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,2,E19_Q2_ansL.png,left,NA,NA,NA,left,764.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,3,E19_Q5_ansR.png,right,NA,NA,NA,right,951.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,4,E19_Q4_ansR.png,right,NA,NA,NA,right,1485.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,5,E19_Q7_ansL.png,left,NA,NA,NA,left,1327.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,6,E19_Q10_ansL.png,left,NA,NA,NA,left,1498.60000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,7,E19_Q9_ansR.png,right,NA,NA,NA,right,1102.80000000447,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,8,E19_Q3_ansR.png,right,NA,NA,NA,right,1288.60000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,9,E19_Q8_ansL.png,left,NA,NA,NA,left,976.40000000596,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,10,E13_Q6_ansR.png,right,NA,NA,NA,right,1449,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,11,E13_Q3_ansR.png,right,NA,NA,NA,right,1149.79999999702,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,12,E13_Q4_ansR.png,right,NA,NA,NA,right,1468.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,13,E13_Q5_ansR.png,right,NA,NA,NA,right,1451.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,14,E13_Q9_ansR.png,right,NA,NA,NA,right,1141.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,15,E13_Q2_ansL.png,left,NA,NA,NA,left,1058.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,16,E13_Q7_ansL.png,left,NA,NA,NA,left,980,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,17,E13_Q10_ansL.png,left,NA,NA,NA,left,1291.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,18,E13_Q1_ansL.png,left,NA,NA,NA,left,1138.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,19,E13_Q8_ansL.png,left,NA,NA,NA,left,1328.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,20,E14_Q7_ansL.png,left,NA,NA,NA,left,2371,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,21,E14_Q5_ansR.png,right,NA,NA,NA,right,2199.39999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,22,E14_Q3_ansR.png,right,NA,NA,NA,right,1336.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,23,E14_Q2_ansL.png,left,NA,NA,NA,left,1908.90000000596,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,24,E14_Q10_ansL.png,left,NA,NA,NA,left,1100.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,25,E14_Q4_ansR.png,right,NA,NA,NA,right,1127.09999999404,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,26,E14_Q1_ansL.png,left,NA,NA,NA,left,1190.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,27,E14_Q6_ansR.png,right,NA,NA,NA,right,1131.19999999553,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,28,E14_Q8_ansL.png,left,NA,NA,NA,left,942.70000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,true,NA,0,29,E14_Q9_ansR.png,right,NA,NA,NA,right,1032.70000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,0,NA,left,E19_Q7_ansL.png,E19_Q3_ansR.png,within,NA,NaN,NA,left,2447.89999999851,1,1,1909
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,1,NA,left,E13_Q9_ansR.png,E13_Q10_ansL.png,within,NA,NaN,NA,left,4641.69999999553,1,1,1859.1000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,2,NA,left,E19_Q9_ansR.png,E13_Q6_ansR.png,between,NA,NaN,NA,left,2663.9000000059605,1,2,2174.8000000044703
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,3,NA,right,E14_Q7_ansL.png,E13_Q10_ansL.png,between,NA,NaN,NA,right,1429.5999999940395,1,2,1768.1999999955297
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,4,NA,right,E14_Q9_ansR.png,E14_Q1_ansL.png,within,NA,NaN,NA,right,3359.5,1,1,2261.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,5,NA,right,E19_Q8_ansL.png,E19_Q10_ansL.png,within,NA,NaN,NA,left,1653.5,0,1,1301.3000000044703
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,6,NA,right,E19_Q9_ansR.png,E19_Q4_ansR.png,within,NA,NaN,NA,right,1545.0999999940395,1,1,1008.2999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,7,NA,left,E14_Q10_ansL.png,E14_Q6_ansR.png,within,NA,NaN,NA,left,2946.5,1,1,2967
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,8,NA,right,E13_Q4_ansR.png,E19_Q8_ansL.png,between,NA,NaN,NA,right,1664.4000000059605,1,2,1930.6000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,9,NA,left,E13_Q8_ansL.png,E14_Q3_ansR.png,between,NA,NaN,NA,left,3800,1,3,3017.5
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,10,NA,left,E19_Q1_ansL.png,E19_Q4_ansR.png,within,NA,NaN,NA,left,7172,1,1,1379.9000000059605
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,11,NA,right,E14_Q8_ansL.png,E14_Q4_ansR.png,within,NA,NaN,NA,right,3713.2000000029802,1,1,1586.3999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,12,NA,left,E13_Q2_ansL.png,E13_Q1_ansL.png,within,NA,NaN,NA,left,1174.8999999985099,1,1,1793.1000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,13,NA,left,E13_Q5_ansR.png,E13_Q7_ansL.png,within,NA,NaN,NA,left,2096,1,1,960.2999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,14,NA,left,E13_Q4_ansR.png,E13_Q2_ansL.png,within,NA,NaN,NA,right,1498,0,1,929.5999999940395
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,15,NA,right,E14_Q4_ansR.png,E14_Q3_ansR.png,within,NA,NaN,NA,right,1479.1000000014901,1,1,900.2999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,16,NA,right,E14_Q2_ansL.png,E14_Q7_ansL.png,within,NA,NaN,NA,right,3213.8000000044703,1,1,1489.5
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,17,NA,left,E19_Q3_ansR.png,E13_Q3_ansR.png,between,NA,NaN,NA,left,2078.3000000044703,1,2,979.6000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,18,NA,right,E14_Q10_ansL.png,E14_Q5_ansR.png,within,NA,NaN,NA,right,3184.3000000044703,1,1,1018
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,19,NA,left,E19_Q2_ansL.png,E19_Q7_ansL.png,within,NA,NaN,NA,right,2066.9000000059605,0,1,2381
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,20,NA,right,E13_Q5_ansR.png,E13_Q6_ansR.png,within,NA,NaN,NA,left,1410.7999999970198,0,1,1048.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,21,NA,left,E19_Q5_ansR.png,E19_Q10_ansL.png,within,NA,NaN,NA,left,2586.89999999851,1,1,2175.5999999940395
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,22,NA,right,E14_Q5_ansR.png,E13_Q1_ansL.png,between,NA,NaN,NA,right,1541.5,1,2,1312.8000000044703
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,23,NA,right,E13_Q9_ansR.png,E13_Q3_ansR.png,within,NA,NaN,NA,left,2136.8000000044703,0,1,891.5
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,24,NA,left,E19_Q6_ansR.png,E19_Q5_ansR.png,within,NA,NaN,NA,left,1175.3999999985099,1,1,1380.6000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,25,NA,left,E14_Q2_ansL.png,E14_Q1_ansL.png,within,NA,NaN,NA,right,3772.5,0,1,1235.3999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,true,NA,true,0,26,NA,left,E13_Q7_ansL.png,E13_Q8_ansL.png,within,NA,NaN,NA,left,1498.6999999955297,1,1,1479.3999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,0,E1_Q2_ansL.png,left,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,1,E1_Q7_ansL.png,left,NA,NA,NA,left,1060.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,2,E1_Q3_ansR.png,right,NA,NA,NA,right,1571.09999999404,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,3,E1_Q8_ansR.png,right,NA,NA,NA,left,1441.29999999702,false,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,4,E1_Q1_ansL.png,left,NA,NA,NA,left,1101,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,5,E1_Q10_ansR.png,right,NA,NA,NA,right,914.70000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,6,E1_Q6_ansR.png,right,NA,NA,NA,right,1074.90000000596,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,7,E1_Q4_ansL.png,left,NA,NA,NA,left,1005.29999999702,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,8,E1_Q5_ansR.png,right,NA,NA,NA,right,886.20000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,9,E1_Q9_ansL.png,left,NA,NA,NA,left,1028.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,10,E4_Q4_ansL.png,left,NA,NA,NA,left,1623.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,11,E4_Q3_ansL.png,left,NA,NA,NA,left,2185.89999999851,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,12,E4_Q7_ansR.png,right,NA,NA,NA,right,1199.60000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,13,E4_Q2_ansL.png,left,NA,NA,NA,left,1117.79999999702,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,14,E4_Q1_ansL.png,left,NA,NA,NA,left,834.19999999553,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,15,E4_Q6_ansR.png,right,NA,NA,NA,right,1241.20000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,16,E4_Q8_ansR.png,right,NA,NA,NA,right,1121.10000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,17,E4_Q10_ansR.png,right,NA,NA,NA,right,1130.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,18,E4_Q5_ansR.png,right,NA,NA,NA,right,1143.60000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,19,E4_Q9_ansL.png,left,NA,NA,NA,left,1108,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,20,E10_Q1_ansL.png,left,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,21,E10_Q9_ansL.png,left,NA,NA,NA,left,2676.5,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,22,E10_Q4_ansL.png,left,NA,NA,NA,right,2997,false,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,23,E10_Q6_ansR.png,right,NA,NA,NA,right,1944.60000000149,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,24,E10_Q3_ansL.png,left,NA,NA,NA,left,3119,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,25,E10_Q2_ansL.png,left,NA,NA,NA,left,2832.29999999702,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,26,E10_Q7_ansR.png,right,NA,NA,NA,right,2100.79999999702,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,27,E10_Q5_ansR.png,right,NA,NA,NA,right,2589.70000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,28,E10_Q8_ansR.png,right,NA,NA,NA,right,3142.40000000596,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,true,NA,1,29,E10_Q10_ansR.png,right,NA,NA,NA,right,2213.70000000298,true,NA,NA,NA,NA,NA
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,0,NA,left,E4_Q3_ansL.png,E4_Q1_ansL.png,within,NA,NaN,NA,left,3095.89999999851,1,1,2037.1000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,1,NA,right,E4_Q2_ansL.png,E4_Q4_ansL.png,within,NA,NaN,NA,right,3164.5,1,1,1499.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,2,NA,right,E10_Q10_ansR.png,E10_Q7_ansR.png,within,NA,NaN,NA,left,2939.89999999851,0,1,2840.2999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,3,NA,right,E10_Q7_ansR.png,E10_Q6_ansR.png,within,NA,NaN,NA,right,1234,1,1,1468.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,4,NA,right,E1_Q6_ansR.png,E1_Q8_ansR.png,within,NA,NaN,NA,right,2656,1,1,1803.8999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,5,NA,right,E1_Q4_ansL.png,E1_Q1_ansL.png,within,NA,NaN,NA,right,2931.10000000149,1,1,1156.6999999955297
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,6,NA,right,E4_Q9_ansL.png,E4_Q8_ansR.png,within,NA,NaN,NA,left,3707.10000000149,0,1,3146.7999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,7,NA,right,E4_Q4_ansL.png,E1_Q4_ansL.png,between,NA,NaN,NA,left,1882.2000000029802,0,2,814.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,8,NA,left,E4_Q9_ansL.png,E10_Q4_ansL.png,between,NA,NaN,NA,left,1802.6000000014901,1,2,2393.10000000149
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,9,NA,left,E1_Q9_ansL.png,E4_Q7_ansR.png,between,NA,NaN,NA,left,3874.10000000149,1,2,1008.4000000059605
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,10,NA,right,E1_Q5_ansR.png,E1_Q10_ansR.png,within,NA,NaN,NA,right,2855.0999999940395,1,1,2099.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,11,NA,right,E4_Q10_ansR.png,E4_Q1_ansL.png,within,NA,NaN,NA,left,3060.3000000044703,0,1,1255.2000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,12,NA,left,E4_Q5_ansR.png,E10_Q9_ansL.png,between,NA,NaN,NA,left,1059.3999999985099,1,2,2403.7000000029802
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,13,NA,right,E10_Q2_ansL.png,E10_Q4_ansL.png,within,NA,NaN,NA,right,2372.7999999970198,1,1,1304.3999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,14,NA,left,E10_Q3_ansL.png,E10_Q5_ansR.png,within,NA,NaN,NA,right,2854.5,0,1,989
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,15,NA,right,E10_Q3_ansL.png,E10_Q9_ansL.png,within,NA,NaN,NA,right,1794.6000000014901,1,1,1040
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,16,NA,right,E10_Q1_ansL.png,E4_Q10_ansR.png,between,NA,NaN,NA,right,1333.3999999985099,1,2,1077.7999999970198
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,17,NA,left,E1_Q6_ansR.png,E1_Q9_ansL.png,within,NA,NaN,NA,left,2108.7999999970198,1,1,1469.5
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,18,NA,right,E4_Q8_ansR.png,E4_Q2_ansL.png,within,NA,NaN,NA,right,3501.39999999851,1,1,1235.8999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,19,NA,right,E10_Q6_ansR.png,E10_Q1_ansL.png,within,NA,NaN,NA,right,1745.3999999985099,1,1,1068.5
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,20,NA,left,E1_Q2_ansL.png,E1_Q8_ansR.png,within,NA,NaN,NA,left,1657.9000000059605,1,1,901.8999999985099
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,21,NA,right,E4_Q5_ansR.png,E4_Q6_ansR.png,within,NA,NaN,NA,left,2696.60000000149,0,1,1334.1999999955297
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,22,NA,left,E1_Q7_ansL.png,E1_Q1_ansL.png,within,NA,NaN,NA,left,1452,1,1,1215.6000000014901
4gPgqbeo,NA,NA,4gPgqbeo,2020-0188,2021-09-23,00:58:05,01:55:35,NA,incomplete,false,NA,true,1,23,NA,left,E1_Q3_ansR.png,E1_Q10_ansR.png,within,NA,NaN,NA,left,2424.7999999970198,1,1,1383.1000000014901
