workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event_order,event,stim,answer,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,0,NA,gray,n_l_095.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1443.30000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,1,NA,gray,m_s_090.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1193.19999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,2,NA,gray,n_s_108.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1128.20000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,3,NA,gray,n_l_030.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,973.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,4,NA,gray,m_s_057.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,904.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,5,NA,gray,m_l_021.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,982.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,6,NA,yellow,n_l_077.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1411.90000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,7,NA,yellow,m_s_067.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1157.89999997616,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,8,NA,yellow,m_l_067.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1289.90000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,9,NA,yellow,m_l_108.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1524.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,10,NA,yellow,m_l_101.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1091.19999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,11,NA,yellow,n_s_075.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1474,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,12,NA,blue,m_l_031.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1178.80000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,13,NA,blue,n_l_036.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1176.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,14,NA,blue,n_l_049.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1504.90000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,15,NA,blue,n_l_011.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1503.19999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,16,NA,blue,n_s_056.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1967.59999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,17,NA,blue,n_l_043.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1296.90000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,18,NA,green,n_s_102.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1316.69999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,19,NA,green,n_l_071.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,930.699999988079,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,20,NA,green,n_l_076.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1239.80000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,21,NA,green,n_s_052.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1128.39999997616,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,22,NA,green,m_l_097.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1328.20000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,23,NA,green,n_s_001.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1409,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,24,NA,red,m_l_090.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1590.80000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,25,NA,red,n_s_020.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1179.90000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,26,NA,red,n_s_068.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,987.300000011921,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,27,NA,red,n_s_099.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1291.09999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,28,NA,red,m_s_028.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1107.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,29,NA,red,n_l_081.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1062.09999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,30,NA,white,n_s_112.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1571.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,31,NA,white,n_s_070.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1214.70000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,32,NA,white,m_s_019.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1511.79999998212,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,33,NA,white,n_l_115.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1571.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,34,NA,white,m_l_058.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,2325.80000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,true,NA,0,35,NA,white,n_s_106.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,2062.30000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,0,NA,NA,NA,left,absent,NA,NA,n_l_036.jpg,blue,n_l_043.jpg,blue,within,NA,NaN,NA,left,4091.0999999940395,1,2,6067.899999976158
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,1,NA,NA,NA,right,present,NA,NA,n_s_068.jpg,red,m_l_097.jpg,green,between,NA,NaN,NA,right,5857.5,1,1,1882.5
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,2,NA,NA,NA,left,absent,NA,NA,n_l_071.jpg,green,n_s_001.jpg,green,within,NA,NaN,NA,left,2675.699999988079,1,2,1653.6000000238419
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,3,NA,NA,NA,left,present,NA,NA,m_l_101.jpg,yellow,n_l_049.jpg,blue,between,NA,NaN,NA,left,2634.699999988079,1,2,3050.4000000059605
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,4,NA,NA,NA,right,absent,NA,NA,m_l_067.jpg,yellow,m_s_057.jpg,gray,between,NA,NaN,NA,right,6902,1,1,2058.800000011921
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,5,NA,NA,NA,right,present,NA,NA,n_l_081.jpg,red,n_s_020.jpg,red,within,NA,NaN,NA,left,5446.899999976158,0,0,3185.800000011921
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,6,NA,NA,NA,right,present,NA,NA,n_s_075.jpg,yellow,m_s_067.jpg,yellow,within,NA,NaN,NA,left,4073.7000000178814,0,0,1429.5
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,7,NA,NA,NA,left,absent,NA,NA,m_s_090.jpg,gray,m_l_021.jpg,gray,within,NA,NaN,NA,left,2597.9000000059605,1,0,1945.699999988079
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,8,NA,NA,NA,left,present,NA,NA,m_s_028.jpg,red,m_s_019.jpg,white,between,NA,NaN,NA,right,8147.600000023842,0,2,1517.5
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,9,NA,NA,NA,left,present,NA,NA,n_s_070.jpg,white,n_s_106.jpg,white,within,NA,NaN,NA,right,3388.5,0,0,1106.2999999821186
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,true,NA,true,0,10,NA,NA,NA,left,present,NA,NA,n_s_056.jpg,blue,n_l_076.jpg,green,between,NA,NaN,NA,left,4274.9000000059605,1,2,1461.9000000059605
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,0,NA,green,n_l_078.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,2361.30000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,1,NA,green,m_l_112.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1496.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,2,NA,green,n_s_114.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1343.60000002384,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,3,NA,green,n_l_082.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1355.09999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,4,NA,green,n_l_025.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1324,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,5,NA,green,n_s_046.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1020.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,6,NA,black,m_s_066.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1192.59999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,7,NA,black,m_l_009.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1241.69999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,8,NA,black,n_s_086.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1301.19999998808,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,9,NA,black,m_s_045.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1381.20000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,10,NA,black,m_l_065.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1296.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,11,NA,black,n_l_108.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1204,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,12,NA,yellow,n_s_017.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1336.59999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,13,NA,yellow,m_l_100.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1274.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,14,NA,yellow,m_l_095.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1242.70000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,15,NA,yellow,m_l_023.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1499.39999997616,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,16,NA,yellow,m_l_051.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1138.70000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,17,NA,yellow,n_l_015.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1006.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,18,NA,blue,n_s_008.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1244.59999999404,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,19,NA,blue,m_l_003.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1168.70000001788,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,20,NA,blue,n_s_019.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1110.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,21,NA,blue,n_l_012.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1135.10000002384,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,22,NA,blue,m_s_014.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1313.40000000596,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,23,NA,blue,m_s_099.jpg,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1464.30000001192,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,24,NA,orange,m_s_044.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1543.5,true,NA,NA,NA,NA,NA
nLp1SUay,3vck0q0pp8rxiiaq9ji6jar3xntn0d,31z0pcvwuosbiqdoigutw83aw77t7b,nLp1SUay,2020-0188,2021-10-17,17:37:13,18:50:27,NA,incomplete,false,true,NA,1,25,NA,orange,m_s_036.jpg,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1114.30000001192,true,NA,NA,NA,NA,NA
