workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,block,trial,event,stim,answer,label_left,label_right,left_image,right_image,condition,response,response_time,response_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,0,building,i_s_017.jpg,left,skyscraper,cottage,NA,NA,NA,left,2571.5,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,1,building,o_s_008.jpg,left,skyscraper,cottage,NA,NA,NA,left,1669.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,2,building,o_s_021.jpg,right,cottage,skyscraper,NA,NA,NA,right,1853.10000000894,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,3,building,o_c_015.jpg,left,cottage,skyscraper,NA,NA,NA,left,1470.09999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,4,building,o_s_010.jpg,right,cottage,skyscraper,NA,NA,NA,right,965,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,5,location,i_s_022.jpg,left,indoor,outdoor,NA,NA,NA,left,2060.69999998808,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,6,location,i_s_015.jpg,right,outdoor,indoor,NA,NA,NA,right,1543.89999999106,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,7,location,i_s_027.jpg,right,outdoor,indoor,NA,NA,NA,right,1428.89999999106,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,8,location,o_c_006.jpg,right,indoor,outdoor,NA,NA,NA,right,180.79999999702,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,9,location,i_c_019.jpg,right,outdoor,indoor,NA,NA,NA,right,1343,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,10,size,m_s_027.jpg,right,large,small,NA,NA,NA,right,1625.40000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,11,size,m_s_002.jpg,left,small,large,NA,NA,NA,left,1073.5,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,12,size,m_s_007.jpg,right,large,small,NA,NA,NA,right,2004.20000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,13,size,n_l_004.jpg,left,large,small,NA,NA,NA,left,2233.59999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,14,size,m_l_022.jpg,right,small,large,NA,NA,NA,right,1122.20000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,15,origin,m_s_003.jpg,left,manmade,natural,NA,NA,NA,right,948.199999988079,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,16,origin,m_l_026.jpg,left,manmade,natural,NA,NA,NA,left,1500,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,17,origin,m_l_013.jpg,right,natural,manmade,NA,NA,NA,right,2153.40000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,18,origin,m_l_010.jpg,right,natural,manmade,NA,NA,NA,right,1415.20000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,19,origin,n_s_018.jpg,left,natural,manmade,NA,NA,NA,left,1609.20000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,20,syllable,a_1_005.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,2217.70000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,21,syllable,a_2_013.jpg,right,1 syllable,2 syllables,NA,NA,NA,right,2196.19999998808,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,22,syllable,a_1_008.jpg,right,2 syllables,1 syllable,NA,NA,NA,none,0,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,23,syllable,c_1_026.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,1350.39999999106,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,24,syllable,a_1_023.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1012.5,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,25,abstractness,a_2_025.jpg,right,concrete,abstract,NA,NA,NA,left,3081.60000000894,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,26,abstractness,a_1_012.jpg,right,concrete,abstract,NA,NA,NA,left,1156.59999999404,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,27,abstractness,a_2_019.jpg,left,abstract,concrete,NA,NA,NA,left,2072.70000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,28,abstractness,a_2_022.jpg,right,concrete,abstract,NA,NA,NA,right,1891.70000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,true,NA,0,29,abstractness,a_2_001.jpg,right,concrete,abstract,NA,NA,NA,left,1814.20000000298,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,0,NA,NA,left,NA,NA,o_s_010.jpg,i_s_027.jpg,between-small,NA,NaN,NA,left,4376.20000000298,1,1,3204.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,1,NA,NA,left,NA,NA,a_2_025.jpg,a_2_022.jpg,within,NA,NaN,NA,left,4335.399999991059,1,1,1642
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,2,NA,NA,right,NA,NA,i_s_022.jpg,o_s_021.jpg,between-small,NA,NaN,NA,right,2447.2999999970198,1,1,1465.8999999910593
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,3,NA,NA,right,NA,NA,a_2_013.jpg,m_l_010.jpg,between-big,NA,NaN,NA,right,2570.4000000059605,1,2,1418.7000000029802
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,4,NA,NA,right,NA,NA,m_s_027.jpg,i_s_027.jpg,between-big,NA,NaN,NA,right,1623.6000000089407,1,2,1462.4000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,5,NA,NA,left,NA,NA,o_c_015.jpg,i_s_015.jpg,between-small,NA,NaN,NA,left,2648,1,1,2040.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,6,NA,NA,left,NA,NA,i_s_022.jpg,o_c_006.jpg,within,NA,NaN,NA,left,2297,1,1,1059.0999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,7,NA,NA,right,NA,NA,o_s_010.jpg,o_s_008.jpg,within,NA,NaN,NA,right,2220.7999999970198,1,0,2015.9000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,8,NA,NA,left,NA,NA,o_c_006.jpg,m_s_002.jpg,between-big,NA,NaN,NA,left,1778.8999999910593,1,2,1218.5999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,9,NA,NA,left,NA,NA,i_c_019.jpg,m_s_007.jpg,between-big,NA,NaN,NA,left,1602.1000000089407,1,2,951.3999999910593
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,10,NA,NA,right,NA,NA,o_c_015.jpg,i_s_017.jpg,within,NA,NaN,NA,left,2123.1000000089407,0,1,1645.6000000089407
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,11,NA,NA,right,NA,NA,m_s_003.jpg,m_s_007.jpg,between-small,NA,NaN,NA,left,2584,0,1,1001
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,12,NA,NA,right,NA,NA,m_l_026.jpg,n_l_004.jpg,between-small,NA,NaN,NA,left,5323.9000000059605,0,2,895.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,13,NA,NA,left,NA,NA,m_l_026.jpg,n_s_018.jpg,within,NA,NaN,NA,left,1221.5,1,0,2313.9000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,14,NA,NA,left,NA,NA,a_2_013.jpg,a_1_023.jpg,within,NA,NaN,NA,left,2460.4000000059605,1,1,943.5999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,15,NA,NA,left,NA,NA,m_s_003.jpg,m_l_010.jpg,within,NA,NaN,NA,left,3501.4000000059605,1,1,792.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,16,NA,NA,right,NA,NA,a_1_008.jpg,n_s_018.jpg,between-big,NA,NaN,NA,right,1489.199999988079,1,2,1120.9000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,17,NA,NA,left,NA,NA,a_1_012.jpg,a_2_001.jpg,within,NA,NaN,NA,left,1953.2999999970198,1,1,993.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,18,NA,NA,right,NA,NA,a_2_019.jpg,a_1_023.jpg,between-small,NA,NaN,NA,right,2852.5,1,1,904.0999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,19,NA,NA,left,NA,NA,i_s_015.jpg,i_c_019.jpg,within,NA,NaN,NA,left,3390.2999999970198,1,0,943.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,20,NA,NA,left,NA,NA,c_1_026.jpg,a_1_012.jpg,between-small,NA,NaN,NA,left,1320.3999999910593,1,0,1062.5999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,21,NA,NA,right,NA,NA,a_2_025.jpg,a_1_008.jpg,between-small,NA,NaN,NA,left,1672.2999999970198,0,1,1162.300000011921
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,22,NA,NA,left,NA,NA,m_s_002.jpg,m_l_022.jpg,within,NA,NaN,NA,left,5000.20000000298,1,0,758.4000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,23,NA,NA,right,NA,NA,c_1_026.jpg,a_1_005.jpg,within,NA,NaN,NA,left,1583.0999999940395,0,0,1421.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,24,NA,NA,right,NA,NA,m_l_013.jpg,m_l_022.jpg,between-small,NA,NaN,NA,right,4474.70000000298,1,1,1509.5999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,25,NA,NA,left,NA,NA,m_s_027.jpg,n_l_004.jpg,within,NA,NaN,NA,left,3181.5,1,0,1288
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,true,NA,true,0,26,NA,NA,left,NA,NA,m_l_013.jpg,a_1_005.jpg,between-big,NA,NaN,NA,left,1497,1,1,724.5999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,0,location,i_c_018.jpg,left,indoor,outdoor,NA,NA,NA,left,1830.29999999702,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,1,location,o_c_028.jpg,right,indoor,outdoor,NA,NA,NA,right,1269.59999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,2,location,o_c_001.jpg,left,outdoor,indoor,NA,NA,NA,left,1338.09999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,3,location,o_c_003.jpg,left,outdoor,indoor,NA,NA,NA,left,1408.40000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,4,location,o_s_019.jpg,right,indoor,outdoor,NA,NA,NA,right,1430.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,5,building,o_c_024.jpg,left,cottage,skyscraper,NA,NA,NA,left,1526.59999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,6,building,o_s_013.jpg,left,skyscraper,cottage,NA,NA,NA,left,1319,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,7,building,o_s_015.jpg,right,cottage,skyscraper,NA,NA,NA,right,943.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,8,building,i_c_005.jpg,right,skyscraper,cottage,NA,NA,NA,right,1644.20000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,9,building,i_s_021.jpg,right,cottage,skyscraper,NA,NA,NA,right,1268.79999999702,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,10,size,n_l_011.jpg,right,small,large,NA,NA,NA,right,1750.59999999404,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,11,size,m_s_019.jpg,right,large,small,NA,NA,NA,right,1229.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,12,size,n_s_019.jpg,left,small,large,NA,NA,NA,left,875.899999991059,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,13,size,m_l_012.jpg,left,large,small,NA,NA,NA,left,1403.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,14,size,m_l_016.jpg,left,large,small,NA,NA,NA,left,1121,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,15,origin,n_l_013.jpg,left,natural,manmade,NA,NA,NA,left,1732.5,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,16,origin,m_s_023.jpg,left,manmade,natural,NA,NA,NA,left,2236.30000001192,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,17,origin,m_s_008.jpg,right,natural,manmade,NA,NA,NA,right,2010.70000000298,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,18,origin,n_l_001.jpg,left,natural,manmade,NA,NA,NA,left,2271,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,19,origin,n_s_016.jpg,left,natural,manmade,NA,NA,NA,left,1546.90000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,20,syllable,a_1_024.jpg,right,2 syllables,1 syllable,NA,NA,NA,right,1438.29999999702,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,21,syllable,a_2_027.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,1443.20000000298,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,22,syllable,a_2_020.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,1245.09999999404,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,23,syllable,c_2_017.jpg,right,2 syllables,1 syllable,NA,NA,NA,left,1164.90000000596,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,24,syllable,a_1_019.jpg,right,1 syllable,2 syllables,NA,NA,NA,left,1929.20000000298,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,25,abstractness,a_1_002.jpg,right,concrete,abstract,NA,NA,NA,right,2851.40000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,26,abstractness,c_2_007.jpg,left,concrete,abstract,NA,NA,NA,left,2663.10000000894,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,27,abstractness,c_1_028.jpg,right,abstract,concrete,NA,NA,NA,right,3134.40000000596,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,28,abstractness,a_2_006.jpg,left,abstract,concrete,NA,NA,NA,right,3550.09999999404,false,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,true,NA,1,29,abstractness,c_1_010.jpg,left,concrete,abstract,NA,NA,NA,left,2060.29999999702,true,NA,NA,NA,NA,NA
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,0,NA,NA,left,NA,NA,m_l_012.jpg,m_s_023.jpg,between-small,NA,NaN,NA,left,3641.0999999940395,1,0,1434.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,1,NA,NA,right,NA,NA,a_2_020.jpg,n_s_016.jpg,between-big,NA,NaN,NA,right,5878,1,2,1149.0999999940395
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,2,NA,NA,right,NA,NA,c_2_007.jpg,c_2_017.jpg,between-small,NA,NaN,NA,left,5528.0999999940395,0,0,858.8999999910593
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,3,NA,NA,left,NA,NA,n_l_011.jpg,m_l_012.jpg,within,NA,NaN,NA,left,1371.5,1,1,1333.199999988079
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,4,NA,NA,right,NA,NA,m_l_016.jpg,m_s_019.jpg,within,NA,NaN,NA,right,6157.79999999702,1,0,1511.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,5,NA,NA,left,NA,NA,o_c_024.jpg,i_c_005.jpg,within,NA,NaN,NA,left,2610.7000000029802,1,1,1388.7000000029802
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,6,NA,NA,left,NA,NA,o_s_019.jpg,o_s_015.jpg,between-small,NA,NaN,NA,left,1758.5,1,1,1556
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,7,NA,NA,right,NA,NA,o_c_003.jpg,i_c_018.jpg,within,NA,NaN,NA,left,7523.29999999702,0,1,904.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,8,NA,NA,right,NA,NA,o_s_013.jpg,o_c_003.jpg,between-small,NA,NaN,NA,left,8149.70000000298,0,0,951.9000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,9,NA,NA,right,NA,NA,c_1_010.jpg,c_2_007.jpg,within,NA,NaN,NA,left,1108.3999999910593,0,1,848.4000000059605
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,10,NA,NA,right,NA,NA,a_2_006.jpg,a_1_002.jpg,within,NA,NaN,NA,left,2745.5,0,0,1659.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,11,NA,NA,right,NA,NA,a_1_002.jpg,a_2_020.jpg,between-small,NA,NaN,NA,left,997.6000000089407,0,1,1447
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,12,NA,NA,right,NA,NA,o_s_019.jpg,o_c_028.jpg,within,NA,NaN,NA,left,2114.5999999940395,0,1,1022.2000000029802
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,13,NA,NA,right,NA,NA,n_s_019.jpg,i_s_021.jpg,between-big,NA,NaN,NA,right,1412.2999999970198,1,2,755.1000000089407
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,14,NA,NA,left,NA,NA,a_1_019.jpg,c_1_028.jpg,between-small,NA,NaN,NA,left,1174.2000000029802,1,1,1298.7999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,15,NA,NA,right,NA,NA,c_2_017.jpg,a_1_024.jpg,within,NA,NaN,NA,left,2731.7999999970198,0,0,914.2000000029802
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,16,NA,NA,right,NA,NA,a_1_024.jpg,m_s_008.jpg,between-big,NA,NaN,NA,right,2121.5,1,2,1215.2999999970198
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,17,NA,NA,left,NA,NA,i_c_005.jpg,m_s_019.jpg,between-big,NA,NaN,NA,left,2129.9000000059605,1,2,2879.699999988079
mZBhXg6p,NA,NA,mZBhXg6p,2020-0188,2021-09-27,07:34:09,08:44:41,NA,incomplete,false,NA,true,1,18,NA,NA,right,NA,NA,n_l_013.jpg,n_s_019.jpg,between-small,NA,NaN,NA,left,1618.3999999910593,0,1,1175.2999999970198
